Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,12/04/2013,1007.45,999.60,975.75,23.85,27.58,59.44,63.65
SET50,19/04/2013,1018.36,1003.01,979.81,23.21,27.03,60.95,59.78
SET50,26/04/2013,1044.82,1010.61,986.00,24.61,26.73,64.38,61.13
SET50,03/05/2013,1042.70,1016.45,991.40,25.05,26.52,63.90,60.89
SET50,10/05/2013,1076.13,1027.30,999.47,27.83,26.68,67.96,63.33
SET50,17/05/2013,1079.78,1036.84,1007.12,29.72,27.06,68.38,65.11
SET50,23/05/2013,1064.49,1041.87,1012.58,29.29,27.34,64.61,65.85
SET50,31/05/2013,1029.01,1039.53,1014.15,25.38,27.10,56.83,64.34
SET50,07/06/2013,1007.39,1033.69,1013.50,20.18,26.23,52.69,62.09
SET50,14/06/2013,978.87,1023.72,1010.20,13.52,24.64,47.76,58.05
SET50,21/06/2013,940.65,1008.62,1003.58,5.04,22.19,42.12,52.80
SET50,28/06/2013,982.99,1003.96,1001.62,2.34,19.71,49.24,49.73
SET50,05/07/2013,977.53,999.15,999.32,-0.17,17.23,48.42,48.04
SET50,12/07/2013,991.60,997.78,998.59,-0.81,14.97,50.69,47.65
SET50,19/07/2013,1004.94,999.08,999.19,-0.11,13.09,52.81,48.66
SET50,26/07/2013,1002.93,999.78,999.55,0.23,11.48,52.45,50.72
SET50,02/08/2013,966.98,993.82,996.45,-2.63,9.72,46.34,50.14
SET50,09/08/2013,969.70,989.43,993.90,-4.47,7.94,46.84,49.83
SET50,16/08/2013,981.08,987.91,992.68,-4.77,6.35,48.98,49.48
SET50,23/08/2013,908.97,973.56,984.71,-11.15,4.17,38.47,46.61
SET50,30/08/2013,882.98,957.09,975.02,-17.93,1.40,35.52,43.23
SET50,06/09/2013,913.56,949.18,969.17,-19.99,-1.27,41.20,42.20
SET50,13/09/2013,957.25,950.64,968.03,-17.39,-3.28,48.18,42.47
SET50,20/09/2013,1017.30,962.76,972.72,-9.96,-4.12,55.89,43.85
SET50,27/09/2013,967.51,963.63,972.23,-8.60,-4.68,49.36,46.03
SET50,04/10/2013,973.12,965.35,972.31,-6.96,-4.96,50.07,48.94
SET50,11/10/2013,996.01,970.93,974.57,-3.64,-4.80,52.93,51.28
SET50,18/10/2013,1014.42,978.83,978.36,0.47,-4.14,55.14,52.68
SET50,25/10/2013,992.01,981.23,979.66,1.57,-3.43,51.95,51.89
SET50,01/11/2013,977.27,980.51,979.44,1.07,-2.86,49.92,52.00
SET50,08/11/2013,960.68,976.90,977.65,-0.74,-2.60,47.67,51.52
SET50,15/11/2013,971.07,975.84,977.02,-1.18,-2.42,49.21,50.78
SET50,22/11/2013,927.07,966.98,972.27,-5.29,-2.78,43.42,48.43
SET50,29/11/2013,935.22,961.20,968.74,-7.54,-3.37,44.71,46.99
SET50,06/12/2013,928.98,955.34,964.95,-9.61,-4.15,43.89,45.78
SET50,13/12/2013,912.95,947.64,960.00,-12.36,-5.18,41.78,44.60
SET50,20/12/2013,916.83,942.03,955.89,-13.85,-6.26,42.50,43.26
SET50,27/12/2013,883.40,931.37,948.98,-17.61,-7.68,38.16,42.21
SET50,03/01/2014,829.89,912.92,937.64,-24.72,-9.81,32.47,39.76
SET50,10/01/2014,858.25,902.98,930.08,-27.10,-11.97,37.74,38.53
SET50,17/01/2014,883.94,899.52,925.69,-26.17,-13.75,42.12,38.60
SET50,24/01/2014,898.88,899.40,923.13,-23.73,-14.99,44.56,39.01
SET50,31/01/2014,866.34,893.39,917.72,-24.33,-16.16,40.58,39.49
SET50,07/02/2014,879.69,890.90,914.10,-23.20,-17.04,42.82,41.56
SET50,13/02/2014,890.01,890.74,911.81,-21.07,-17.55,44.56,42.93
SET50,21/02/2014,883.06,889.34,909.07,-19.73,-17.82,43.60,43.22
SET50,28/02/2014,899.51,891.19,908.16,-16.97,-17.71,46.51,43.61
SET50,07/03/2014,916.97,895.88,909.00,-13.12,-17.14,49.47,45.39
SET50,14/03/2014,928.10,901.74,910.82,-9.08,-16.13,51.31,47.09
SET50,21/03/2014,919.32,904.93,911.63,-6.69,-14.95,49.78,48.13
